BMI,BMI_Class
25.0,Gezond gewicht
23.057725694444446,Gezond gewicht
26.029877772747852,Overgewicht
30.08382909680909,Obesitas
21.35779559539232,Gezond gewicht
23.12406058503873,Gezond gewicht
22.656249999999996,Gezond gewicht
25.94548395958609,Overgewicht
20.99605274208449,Gezond gewicht
22.49134948096886,Gezond gewicht
24.049343594386603,Gezond gewicht
26.061679307694877,Overgewicht
22.714681440443215,Gezond gewicht
24.913494809688583,Gezond gewicht
25.359256128486894,Overgewicht
25.605536332179934,Overgewicht
24.933720489837143,Gezond gewicht
21.952479338842977,Gezond gewicht
27.471707127713575,Overgewicht
26.672763298277697,Overgewicht
23.93948099205209,Gezond gewicht
21.705129432793896,Gezond gewicht
24.0569347455645,Gezond gewicht
25.15589569160998,Overgewicht
22.386314277122523,Gezond gewicht
25.10633270321361,Overgewicht
20.077334919690664,Gezond gewicht
20.41522491349481,Gezond gewicht
22.321428571428577,Gezond gewicht
0,Data ontbreekt
25.25,Overgewicht
25.21735857578381,Overgewicht
27.166919271354622,Overgewicht
21.258503401360546,Gezond gewicht
20.936639118457304,Gezond gewicht
29.411764705882355,Overgewicht
27.65174904024269,Overgewicht
21.79944510503369,Gezond gewicht
21.093749999999996,Gezond gewicht
23.243801652892564,Gezond gewicht
24.997449239873482,Gezond gewicht
23.167430237401085,Gezond gewicht
28.703703703703702,Overgewicht
21.04981790236894,Gezond gewicht
21.913805697589478,Gezond gewicht
21.258503401360546,Gezond gewicht
22.22222222222222,Gezond gewicht
23.702162099664697,Gezond gewicht
22.282592106468055,Gezond gewicht
25.854639471416256,Overgewicht
24.489795918367346,Gezond gewicht
25.712198685171657,Overgewicht
23.661438615467823,Gezond gewicht
23.72206917661463,Gezond gewicht
18.376825152861773,Ondergewicht
19.60519199567334,Gezond gewicht
20.07960127648894,Gezond gewicht
20.9572742022715,Gezond gewicht
21.561909262759922,Gezond gewicht
23.98687034465345,Gezond gewicht
21.9671201814059,Gezond gewicht
20.830703194041156,Gezond gewicht
27.465303140978815,Overgewicht
16.31271160357033,Ondergewicht
23.025684602944,Gezond gewicht
23.822714681440445,Gezond gewicht
18.25310978907518,Ondergewicht
25.725517400855587,Overgewicht
33.8123415046492,Obesitas
25.195263290501387,Overgewicht
21.545090797168363,Gezond gewicht
20.58966513197403,Gezond gewicht
28.763971071663377,Overgewicht
23.875114784205696,Gezond gewicht
21.561909262759922,Gezond gewicht
22.395413419331717,Gezond gewicht
24.161722462347985,Gezond gewicht
