Date,IdNummer,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12F_alt,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13G_alt,Q14,Q14_alt,Q15,Q15_alt,Q16A,Q16B,Q16C,Q16D,Q16E,Q16F,Q16G,Q16G_alt,Q17,Q18A,Q18B,Q18C,Q18D,Q18D_alt,Q19,Q20A,Q20B,Q20C,Q20D,Q20E,Q20E_alt,Q21.1.1,Q21.1.2,Q21.1.3,Q21.2.1,Q21.2.2,Q21.2.3,Q22,Q23.1,Q23.2,Q23.3,Q23.4,Q23.5,Q23.6,Q23.7,Q23.8,Q23.9,Q23.10,Q23.11,Q23.12,Q23.13,Q24,Q24_alt,Q25,Q26,Q27.1.1,Q27.1.2,Q27.1.3,Q27.1.4,Q27.1.5,Q27.1.6,Q27.1.7,Q27.1.8,Q27.2.1,Q27.2.2,Q27.2.3,Q27.2.4,Q27.2.5,Q27.2.6,Q27.2.7,Q27.2.8,Q28,Q29,Q29_alt,Q30,Q31A,Q31B,Q31C,Q31D,Q31E,Q31F,Q31G,Q31H,Q31I,Q31J,Q31K,Q31L,Q31M,Q31M_alt,Q32A,Q32B,Q32C,Q32D,Q32E,Q32F,Q32G,Q32H,Q33A,Q33B,Q33C,Q33D,Q33E,Q33F,Q33G,Q33H,Q33I,Q33J,Q33K,Q33L,Q33M,Q33M_alt,Q34,Q35,Q36,Q37,Q38,Q38_alt,Q39.1,Q39.2,Q39.3,Q39.4,Q39.5,Q40.1,Q40.2,Q40.3,Q40.4,Q40.5,Q41.1,Q41.2,Q41.3,Q41.4,Q41.5,Q42.1,Q42.2,Q42.3,Q42.4,Q42.5,Q43,Q44A,Q44B,Q44C,Q44D,Q45A,Q45B,Q45C,Q45D,Q45E,Q45F,Q45G,Q45H,Q45I,Q45J,Q45K,Q45L,Q45M,Q45N,Q45O,Q45P,Q45Q,Q45R,Q45S,Q45T,Q45U,Q45V,Q45W,Q45X,Q45X_alt,Q46,Q46_alt,Q47,Q48,Q49,Q50,Q51,Q51_alt,Q52,Q53,Q53_alt,,,,,,,,,,,,,,,,
9/26/2018 11:31:03 AM,3,Nee, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
9/26/2018 11:42:25 AM,4,Ja,Ja,16 km (10 mijl), ,10, , ,Geen aparte trainingsperiode (ik train gedurende het hele jaar),4 of 5 keer per week,Langer dan een jaar,Ik wil niet vaker en/of meer kilometers hardlopen dan ik nu doe, , , , , , , ,false,false,false,false,false,true,false, ,Ik begin meestal met hardlopen bij mijn hardloopvereniging., ,Ik ren altijd binnen 5 km van waar ik woon, ,true,false,false,false,false,false,false, ,Ja,true,true,true,false, ,Ja, , , , , , ,Mee eens,Mee eens,Mee eens, , , ,Ja,Interesse,Interesse,Geen interesse,Interesse,Interesse,Interesse,Interesse,Interesse,Neutraal,Neutraal,Neutraal,Interesse,Neutraal,Nee, ,5,5,Neutraal,Neutraal,Eens,Oneens,Oneens,Helemaal mee oneens,Helemaal mee eens,Neutraal, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,true,false,false,false,false,true,true,false, , , , , , , , , , , , , , , , , , ,Door een trainer/coach in combinatie met een app of online platform, ,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Heel goed,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Ja, ik maak gebruik van een losstaande sport-app / een sport-app gekoppeld aan mijn sporthorloge, activity tracker en/of,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false, ,Strava, ,Man,48,180,81,Hoger beroepsonderwijs (HBO), universiteit (WO), ,Nee,Ja, namelijk ...,Ik begreep achteraf dat er voor de start ook een pendelbus zaandam-amsterdam was. Dat had veel gescheeld want OV was een ramp deze dam tot dam loop: miste mijn container en bijna de start omdat trein en metro naar centraal vanaf arena niet reden. Met geen mogelijkheid op centraal te komen. Dus volgend jaar: parkeren zaandam en met pendelbus naar start!,,,,,,,,,,,
9/26/2018 11:43:13 AM,5,Ja,Ja,16 km (10 mijl), ,9,Top!, ,Geen aparte trainingsperiode (ik train gedurende het hele jaar),2 keer per week,Langer dan een jaar,Ik zou vaker willen hardlopen,false,false,false,false,false,true,Door werk,false,false,false,false,false,true,false, ,Ik begin meestal met hardlopen vanuit mijn huis., ,Ik reis vaak meer dan 5 km van waar ik woon, ,false,false,false,false,false,true,false, ,Ja,true,true,false,false, ,Nee,false,false,true,false,false, ,Neutraal,Neutraal,Neutraal, , , ,Ja,Interesse,Veel interesse,Geen interesse,Interesse,Interesse,Veel interesse,Interesse,Interesse,Interesse,Interesse,Interesse,Geen interesse,Geen interesse,Nee, ,0,0,Oneens,Oneens,Neutraal,Eens,Helemaal mee oneens,Helemaal mee oneens,Neutraal,Eens, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,true,false,false,false,false,false,false,false, , , , , , , , , , , , , , , , , , ,Door een trainer/coach in combinatie met een app of online platform, ,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Neutraal,Goed,Goed,Goed,Goed,Neutraal,Geen interesse,Geen interesse,Geen interesse,Geen interesse,Veel interesse,Ja, ik maak gebruik van een losstaande sport-app / een sport-app gekoppeld aan mijn sporthorloge, activity tracker en/of,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false, ,Strava, ,Man,45,192,85,Hoger beroepsonderwijs (HBO), universiteit (WO), ,Ja, mijn email adres is ...,Nee, ,,,,,,,,,,,
9/26/2018 11:43:40 AM,6,Ja,Ja,16 km (10 mijl), ,9,zoals alle jaren goed georganiseerd. En ondanks t slechte weer veel toeschouwers en entertainment, ,Niet of nauwelijks getraind,Minder dan 1 keer per maand,Langer dan een jaar,Ik zou vaker willen hardlopen,false,true,false,false,false,false, ,true,false,false,false,false,false,false, ,Ik begin meestal met hardlopen vanuit mijn huis., ,Niet, ik loop thuis de deur uit, ,false,false,false,false,false,true,false, ,Nee, , , , , , , , , , , , , , , , , , ,Nee, , , , , , , , , , , , , , , , , ,Neutraal,Neutraal,Eens,Eens,Oneens,Oneens,Eens,Neutraal, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,false,false,false,false,false,true,false,false, , , , , , , , , , , , , , , , , , ,Door een trainer/coach in combinatie met een app of online platform, ,Neutraal,Goed,Goed,Goed,Goed,Goed,Goed,Neutraal,Neutraal,Neutraal,Een beetje,Goed,Neutraal,Neutraal,Neutraal,Interesse,Interesse,Interesse,Interesse,Interesse,Ja, ik maak gebruik van een losstaande sport-app / een sport-app gekoppeld aan mijn sporthorloge, activity tracker en/of,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,work out van Apple,Anders, namelijk,Work out van apple,Man,54,188,92,Hoger beroepsonderwijs (HBO), universiteit (WO), ,Ja, mijn email adres is ...,Nee, ,,,,,,,,,
9/26/2018 12:03:06 PM,7,Ja,Ja,16 km (10 mijl), ,9,super gzellig ondanks de regen. leuke afwisselende muziek, goede verzorging., ,Geen aparte trainingsperiode (ik train gedurende het hele jaar),3 keer per week,Langer dan een jaar,Ik wil niet vaker en/of meer kilometers hardlopen dan ik nu doe, , , , , , , ,false,false,false,false,false,true,false, ,Ik begin meestal met hardlopen bij mijn hardloopvereniging., ,Anders, namelijk…,training vlsk bij wedstrijdjes verder weg,true,false,false,false,false,false,false, ,Ja,true,true,false,false, ,Ja, , , , , , ,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens, , , ,Ja,Interesse,Interesse,Neutraal,Interesse,Interesse,Interesse,Helemaal geen interesse,Helemaal geen interesse,Helemaal geen interesse,Helemaal geen interesse,Helemaal geen interesse,Interesse,Neutraal,Nee, ,20,0,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Oneens,Neutraal,Neutraal, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,false,false,true,false,false,false,false,false, , , , , , , , , , , , , , , , , , ,Alleen door een app of online platform, ,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Veel interesse,Veel interesse,Veel interesse,Veel interesse,Veel interesse,Ja, ik maak gebruik van een losstaande sport-app / een sport-app gekoppeld aan mijn sporthorloge, activity tracker en/of,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false, ,TomTom Sports, ,Man,50,172,89,Middelbaar beroepsonderwijs (MBO), ,Ja, mijn email adres is ...,Nee, ,,,,,,,,,,
9/26/2018 12:09:14 PM,8,Ja,Ja,16 km (10 mijl), ,9,Alles uitstekend georganiseerd met medewerking van vele vooral enthousiaste vrijwilligers. Petje af.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na de finish had ik ook snel mijn ingeleverde kledingtas te pakken. Alleen regen was spelbreker anders was mijn ervaring een 10 geweest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maar ook dat hoort erbij., ,12 weken of meer getraind,3 keer per week,Langer dan een jaar,Ik zou meer kilometers willen hardlopen,true,false,false,false,false,false, ,false,false,false,false,false,true,false, ,Ik begin meestal met hardlopen vanuit mijn huis., ,Niet, ik loop thuis de deur uit, ,false,false,false,false,false,true,false, ,Ja,false,true,true,false, ,Ja, , , , , , ,Niet van toepassing,Helemaal mee eens,Mee eens, , , ,Ja,Veel interesse,Veel interesse,Helemaal geen interesse,Veel interesse,Helemaal geen interesse,Helemaal geen interesse,Helemaal geen interesse,Helemaal geen interesse,Helemaal geen interesse,Helemaal geen interesse,Helemaal geen interesse,Neutraal,Geen interesse,Nee, ,25,7,5,Neutraal,Neutraal,Neutraal,Eens,Neutraal,Helemaal mee oneens,Eens,Eens, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,false,false,false,false,false,false,false,true, , , , , , , , , , , , , , , , , , ,Door een trainer/coach, ,Goed,Een beetje,Neutraal,Helemaal niet,Helemaal niet,Goed,Een beetje,Helemaal niet,Helemaal niet,Helemaal niet,Neutraal,Een beetje,Helemaal niet,Helemaal niet,Helemaal niet,Veel interesse,Interesse,Interesse,Geen interesse,Geen interesse,Ja, ik maak gebruik van een losstaande sport-app / een sport-app gekoppeld aan mijn sporthorloge, activity tracker en/of,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false, ,Garmin Connect, ,Man,59,170,72,Hoger beroepsonderwijs (HBO), universiteit (WO), ,Ja, mijn email adres is ...,Nee, ,,,,,,,,,,,,,,,,
9/26/2018 12:16:45 PM,9,Ja,Ja,16 km (10 mijl), ,9, , ,Geen aparte trainingsperiode (ik train gedurende het hele jaar),3 keer per week,Langer dan een jaar,Ik wil niet vaker en/of meer kilometers hardlopen dan ik nu doe, , , , , , , ,false,false,false,false,false,true,false, ,Ik begin meestal met hardlopen vanuit mijn huis., ,Niet, ik loop thuis de deur uit, ,true,false,false,false,false,false,false, ,Ja,false,false,true,false, ,Ja, , , , , , ,Mee eens,Mee eens,Neutraal, , , ,Ja,Interesse,Interesse,Geen interesse,Interesse,Neutraal,Interesse,Geen interesse,Geen interesse,Geen interesse,Geen interesse,Geen interesse,Geen interesse,Geen interesse,Nee, ,0,0,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Helemaal mee oneens,Neutraal,Neutraal, , , , , , , , ,Nee, en dat ben ik ook niet van plan, , , , , , , , , , , , , , , , , ,true,false,false,false,false,false,false,false, , , , , , , , , , , , , , , , , , ,Alleen door een app of online platform, ,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Goed,Neutraal,Goed,Goed,Goed,Neutraal,Interesse,Interesse,Interesse,Interesse,Interesse,Ja, ik maak gebruik van een losstaande sport-app / een sport-app gekoppeld aan mijn sporthorloge, activity tracker en/of,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false, ,Garmin Connect, ,Vrouw,46,169,61,Hoger beroepsonderwijs (HBO), universiteit (WO), ,Ja, mijn email adres is ...,Nee, ,,,,,,,,,,
9/26/2018 12:21:24 PM,10,Ja,Ja,16 km (10 mijl), ,9,Prima evenement. Respect voor zoveel vrijwilligers die in weer en wind hun inzet hebben getoond. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
